company_name,job_title,salary,workplace
深圳市前海房极客网络科技有限公司,爬虫开发工程师,1-2万/月,深圳-南山区
南京夏娃金融信息服务有限公司,Python开发工程师,0.5-1万/月,南京-建邺区
杭州多麦电子商务股份有限公司,移动端爬虫工程师,1-2万/月,杭州-江干区
深圳市北科瑞声科技股份有限公司,自然语言处理工程师,1-2万/月,深圳-南山区
成都启发分期科技有限公司,爬虫工程师,1-1.5万/月,成都-高新区
上海嘉果信息科技有限公司,资深爬虫工程师,2-4万/月,上海
上海容大教育培训有限公司,python讲师 IT行业,2-3万/月,上海-普陀区
上海量加网络科技有限公司,Python开发工程师,1.2-2.1万/月,上海-长宁区
成都聚思力信息技术有限公司,Python开发工程师,1.2-1.6万/月,成都
湖南潭州教育网络科技有限公司成都分公司,python设计师,4-8千/月,成都-武侯区
青岛东邻虎网络科技有限公司,Python爬虫工程师,4.2-6千/月,青岛-市南区
成都云禾网信科技有限公司,爬虫（python）工程师,0.6-1万/月,成都-龙泉驿区
北京科理集创科技有限公司,爬虫工程师/python工程师,1.5-2万/月,苏州
深圳市思奇博睿科技有限公司,Python爬虫技术开发,0.8-1万/月,深圳-南山区
广州妙思电子科技有限公司,Python Web 爬虫工程师,0.6-1.1万/月,广州-越秀区
广东雀鸟科技有限公司,Python爬虫开发工程师,0.8-1.2万/月,广州-天河区
西安软件服务外包学院,人工智能讲师,0.8-1万/月,西安
成都嗨翻屋科技有限公司,Spark开发工程师,1.5-2万/月,成都-高新区
百视通网络电视技术发展有限责任公司,PHP工程师,15-20万/年,上海
深圳丝路天地电子商务有限公司,Python开发工程师,1-2万/月,深圳-南山区
无锡市朝霞网络科技有限公司,Python开发工程师,0.8-1.5万/月,无锡
泰豪迈能,Python开发工程师,10-15万/年,上海-长宁区
辽宁中嘉博众教育科技有限公司,Python方向讲师,0.8-1万/月,沈阳-浑南区
广州市华誉电脑系统有限公司,Python高级开发工程师,0.6-1万/月,广州-白云区
嘉兴市索贝进出口有限公司,网络爬虫,0.8-1万/月,嘉兴
中科博宏（北京）科技有限公司,Python开发工程师,1.5-3万/月,北京-朝阳区
深圳市希仑科技有限公司,Python Web后端开发,0.8-1万/月,广州-天河区
广州迪奥信息科技有限公司,python工程师,6-8千/月,广州-天河区
深圳格隆汇信息科技有限公司,Python开发工程师,1-1.5万/月,深圳-南山区
广东国晖律师事务所,Python开发工程师,3.5-7千/月,深圳
广州银典信息科技有限公司,Python开发工程师,4.5-6千/月,广州-天河区
上海外服（武汉）人力资源服务有限公司,应用研发工程师-爬虫,0.8-1.2万/月,武汉-武昌区
深圳市弘长科技有限公司,Python开发工程师,1-1.5万/月,深圳-南山区
湖南钧扬网络技术有限公司,大数据采集/爬虫工程师,0.8-1.4万/月,长沙-岳麓区
上海同梁智能科技有限公司,Python爬虫,6-8千/月,上海-杨浦区
杭州大块科技有限公司,爬虫/python工程师,1.2-2.4万/月,杭州-西湖区
中承（浙江）供应链管理股份有限公司,Python爬虫开发,0.5-1.2万/月,宁波-高新区
北京号外科技有限公司,python爬虫工程师,0.8-1.5万/月,北京-海淀区
广东集成数据有限公司,,5-8千/月,异地招聘
万得信息技术股份有限公司（Wind资讯）,业务爬虫工程师,,南京
深圳市恒程科技创新服务有限公司,爬虫开发工程师,1.5-2万/月,深圳-南山区
杭州贝睿企业咨询管理有限公司,,2-3万/月,杭州-滨江区
广州市电牛医药科技有限公司,Python开发工程师,8-10万/年,广州-番禺区
北京华清远见科技发展有限公司济南分公司,急聘Python讲师,6-8千/月,济南
北京阿博泰克北大青鸟信息技术有限公司,Python数据分析产品设计师,,北京
钱咖网络科技（上海）有限公司,Python开发工程师,1.2-1.8万/月,上海-黄浦区
福韵数据服务有限公司,java爬虫软件工程师,0.8-1.2万/月,长沙-雨花区
南通东华软件有限公司,Python开发工程师,1.1-1.9万/月,上海-浦东新区
深圳市腾讯计算机系统有限公司,MIG03-AI数据处理工程师（深圳）,,深圳
天津市普迅电力信息技术有限公司,资深java研发工程师（IT）,1-1.5万/月,天津-西青区
富士康科技集团成都科技园,数据采集工程师,0.8-1.5万/月,成都-郫都区
深圳市西德利集团有限公司,数据挖掘工程师,0.8-1万/月,深圳-宝安区
浙江联保网络技术有限公司,,2-3千/月,杭州-拱墅区
成都蓝源信息技术有限公司,Python高级开发（爬虫）,20-40万/月,成都-高新区
上海文军信息技术有限公司,Java高级开发工程师,1.1-2.2万/月,上海-闵行区
深圳市易流科技股份有限公司,大数据开发工程师,1.5-2.5万/月,西安-高新技术...
上海汇银（集团）有限公司,数据开发工程师,1.5-2.5万/月,上海-静安区
深圳市多度科技有限公司,技术部经理（邻道传媒）,1.5-3万/月,深圳-南山区
深圳市一览网络股份有限公司,Java开发工程师,1-1.5万/月,深圳
雷技信息科技（上海）有限公司南京研发中心,Python开发工程师,1.5-2万/月,南京-建邺区
深圳智人环保科技有限公司,Python开发工程师,0.8-1.5万/月,深圳-南山区
同程网络科技股份有限公司,python开发工程师,,北京
深圳市尚诚信息技术有限公司,初级Python开发工程师,6-8千/月,深圳-福田区
成都迈思信息技术有限公司,爬虫开发工程师（会java）,1-1.5万/月,深圳
深圳市聚美堂科技有限公司,Python开发工程师,1-2万/月,深圳-龙岗区
深圳市蓝鹰立德软件咨询有限公司,Python高级开发工程师,1-1.5万/月,深圳-宝安区
北京千锋互联科技有限公司深圳分公司,Python讲师,1.5-3万/月,深圳-宝安区
北京阿博茨科技有限公司武汉分公司,高级爬虫工程师,1-1.5万/月,武汉
深圳市长亮科技股份有限公司,java开发（上海平安银行常驻）,1-2万/月,上海
亚联财小额贷款,数据挖掘工程师,0.8-1.2万/月,深圳
中科宇图科技股份有限公司河南分公司,GIS工具研发工程师,0.8-1万/月,郑州-高新区
上海梅斯医药科技有限公司—生物谷＆MedSci,测试工程师,1-1.5万/月,浙江省
广东全彩科技有限公司,运维工程师,0.8-1万/月,广州-天河区
陕西云谷教育科技有限公司,Python讲师,1-1.5万/月,西安-莲湖区
上海凯融信息科技有限公司,Python开发/深度学习,0.7-1.5万/月,上海-普陀区
广州名城建筑设计院有限公司,Python工程师,0.6-1万/月,广州-天河区
广州牵引力教育科技有限公司,Python讲师/python工程师,1.5-2万/月,广州-白云区
四川融合融信息技术有限公司,爬虫工程师+双休+五险+年终奖+节假日福利,6-8千/月,成都-成华区
上海阿特门计算机技术有限公司,爬虫开发工程师,0.8-1.2万/月,上海-浦东新区
南京基食信息技术有限公司,高级爬虫工程师,1.5-2.5万/月,南京-雨花台区
武汉微思敦网络技术有限公司,python开发工程师（深圳）,1-1.5万/月,深圳-南山区
上海博为峰软件技术有限公司,Python开发工程师,6-8千/月,杭州
深圳市涌浪网络技术有限公司,Python工程师（爬虫方向）,15-20万/年,深圳-南山区
贵州开拓未来计算机技术有限公司,python爬虫工程师,4-6千/月,贵阳
深圳市佳创科技有限公司,初级python爬虫开发工程师(双休+奖金),4.5-6千/月,东莞-南城区
深圳国泰安数据技术有限公司,人工智能算法工程师,1-1.5万/月,合肥-高新区
万库标杆科技有限公司,高级软件开发工程师,2-2.5万/月,北京-海淀区
上海纳客宝信息技术有限公司,大数据挖掘工程师,1.8-2.5万/月,上海-闵行区
广州市超体信息技术有限公司,PHP开发工程师（小程序）,1-1.2万/月,成都-青羊区
深圳市德科信息技术有限公司,数据采集师,0.8-1万/月,上海-浦东新区
广州白云工商高级技工学校,大数据开发教师,0.5-1万/月,广州
北京拓尔思信息技术股份有限公司,数据采集工程师（天津）,4.5-6千/月,天津-南开区
北京新中商数据科技有限公司上海分公司,后端开发工程师,1-1.5万/月,上海-黄浦区
北京北财教育科技有限责任公司,大数据系统架构师,2.5-3万/月,北京-大兴区
纬创资通（中山）有限公司,数据处理工程师,4.5-6千/月,中山
上海信而富企业管理有限公司,大数据工程师,1.5-3万/月,上海-长宁区
温州星原统计服务有限公司,后端PHP开发工程师,6-9万/年,温州
武汉静乐互联科技有限公司,高级php软件工程师,6-8千/月,武汉-洪山区
深圳友德医科技有限公司,中高级Python开发工程师,1.5-3万/月,深圳-南山区
杭州前方信息技术有限公司,爬虫开发工程师,1.2-2.5万/月,杭州-西湖区
北京汉能光伏投资有限公司,爬虫工程师(025452),1.5-2万/月,北京
浙江联合中小企业资产管理有限公司,爬虫工程师,1.5-3万/月,杭州-江干区
青岛信舆数识科技有限公司,爬虫开发工程师,0.8-1万/月,青岛-黄岛区
智招网（北京）科技有限公司,高级爬虫工程师,1.5-2.5万/月,北京-海淀区
北京众荟信息技术股份有限公司,Python开发工程师,1.3-2.5万/月,北京-海淀区
武汉白虹软件科技有限公司,Python开发工程师,5-9千/月,武汉
江西先达网络科技有限公司,python研发工程师,0.8-1万/月,武汉-洪山区
深圳市易诺建设工程有限公司,网络爬虫工程师,0.7-1万/月,深圳-南山区
南宁西岸枫谷商务数据有限公司,Python开发工程师,5-6千/月,南宁
南京基食信息技术有限公司,爬虫开发工程师（实习）,3-4.5千/月,南京-雨花台区
武汉微思敦网络技术有限公司,高级Python开发工程师（深圳）,2-3万/月,深圳-南山区
杭州美间科技有限公司,爬虫工程师,0.8-1.5万/月,杭州-西湖区
深圳市博悦科创科技有限公司,急聘爬虫开发工程师,1.4-1.5万/月,深圳-福田区
深圳融天云科软件技术有限公司,python后台开发,1-1.5万/月,深圳-南山区
深圳市易赚科技有限公司,爬虫工程师,0.8-1.5万/月,深圳-南山区
深圳市富龙小额贷款有限公司,爬虫工程师,1-2万/月,深圳
睿思商业智能（深圳）有限公司,[SQR27]Python实习生,4.5-7千/月,深圳-福田区
